recno,Name,f_Name,Dist,e_Dist,logBHMass,E_logBHMass,e_logBHMass,logsigma,e_logsigma,logLk,e_logLk,logRe,e_logRe,cov,C28,e_C28,logAGN,e_logAGN,Meth,Refs,SimbadName,NED,_RA,_DE,lum_compactness
142,NGC4388,,16.5,1.6,6.86,0.04,0.04,2.03,0.03,10.72,0.08,0.75,0.08,0.05,5.2,0.5,8.71,0.05,maser,52,NGC4388,NED,186.44508,12.66207,9.22
143,NGC4429,,18.2,1.8,7.85,0.35,0.35,2.25,0.02,11.42,0.15,1.04,0.18,0.06,5.2,0.4,,,gas,7,NGC4429,NED,186.86066,11.10754,9.34
145,NGC4450,,28.3,2.8,8.06,0.28,8.06,2.03,0.06,11.6,0.11,1.11,0.11,0.06,4.7,0.5,,,gas,7,NGC4450,NED,187.12347,17.08495,9.379999999999999
146,NGC4459,,16.0,0.5,7.84,0.09,0.09,2.2,0.02,10.94,0.04,0.42,0.06,0.03,5.8,0.3,,,gas,76,NGC4459,NED,187.25011,13.97858,10.1
147,NGC4472,,17.1,0.6,9.4,0.04,0.04,2.4,0.02,11.75,0.07,0.89,0.11,0.04,5.2,0.6,,,star,74,NGC4472,NED,187.44499,8.00041,9.97
148,NGC4473,,15.2,0.5,7.95,0.24,0.24,2.27,0.02,10.89,0.03,0.38,0.05,0.03,5.8,0.3,,,star,78,NGC4473,NED,187.45366,13.42932,10.13
149,NGC4477,,20.8,2.1,7.55,0.3,0.3,2.17,0.02,11.17,0.11,0.69,0.1,0.06,5.1,0.4,,,gas,7,NGC4477,NED,187.50905,13.63644,9.79
150,NGC4486,,16.7,0.6,9.58,0.1,0.1,2.42,0.02,11.61,0.05,0.82,0.07,0.03,5.7,0.6,7.57,4.13,gas,91,NGC4486,NED,187.70593,12.39112,9.969999999999999
151,NGC4486A,,16.0,0.5,7.1,0.15,0.15,2.09,0.02,10.08,0.05,-0.19,0.06,0.03,4.9,0.7,,,star,63,NGC4486A,NED,187.74054,12.27036,10.46
152,NGC4486B,,16.5,0.6,8.6,0.02,0.02,2.23,0.02,9.75,0.05,-0.7,0.12,0.1,4.8,2.7,,,star,75,NGC4486B,NED,187.63327,12.49024,11.15
153,NGC4501,,16.5,1.1,7.3,0.08,0.08,2.2,0.01,11.27,0.07,0.72,0.04,0.03,3.5,0.2,9.23,0.07,stars,75,NGC4501,NED,187.99673,14.42041,9.83
154,NGC4507,,47.0,4.7,7.18,0.35,0.35,2.16,0.02,11.08,0.09,0.62,0.06,0.04,4.1,0.3,10.38,0.02,gas,7,NGC4507,NED,188.90257,-39.90921,9.84
